rank,release_date,title,url,production_cost,domestic_gross,worldwide_gross,opening_weekend,mpaa,genre,theaters,runtime,year,percentage_domestic,percentage_worldwide
130,21/11/2018,Ralph Breaks The Internet,/movie/Ralph-Breaks-The-Internet-(2018)#tab=summary,175000000,201091711,529290830,56237634,PG,Adventure,4017,112,2018,114.9095491,302.4519029
131,27/3/2009,Monsters vs. Aliens,/movie/Monsters-vs-Aliens#tab=summary,175000000,198351526,381687380,59321095,PG,Adventure,4136,95,2009,113.3437291,218.1070743
132,16/6/2017,Cars 3,/movie/Cars-3#tab=summary,175000000,152901115,383541369,53688680,G,Adventure,4256,109,2017,87.37206571,219.1664966
133,7/8/2009,G.I. Joe: The Rise of Cobra,/movie/GI-Joe-The-Rise-of-Cobra-(2009)#tab=summary,175000000,150201498,302469017,54713046,PG-13,Action,4007,118,2009,85.82942743,172.8394383
134,30/6/1999,Wild Wild West,/movie/Wild-Wild-West#tab=summary,175000000,113805681,221229335,27687484,PG-13,Adventure,3342,107,1999,65.03181771,126.4167629
135,1/8/2008,The Mummy: Tomb of the Dragon Emperor,/movie/Mummy-Tomb-of-the-Dragon-Emperor-The#tab=summary,175000000,102491776,405760225,40457770,PG-13,Adventure,3778,111,2008,58.56672914,231.8629857
136,22/6/2007,Evan Almighty,/movie/Evan-Almighty#tab=summary,175000000,100289690,174131329,31192615,PG,Comedy,3636,96,2007,57.30839429,99.50361657
137,28/7/1995,Waterworld,/movie/Waterworld#tab=summary,175000000,88246220,264246220,21171780,PG-13,Action,2420,135,1995,50.42641143,150.99784
138,8/1/2020,Dolittle,/movie/Dolittle#tab=summary,175000000,77047065,251410631,21844045,PG,Adventure,4155,103,2020,44.02689429,143.6632177
139,11/5/2017,King Arthur: Legend of the Sword,/movie/King-Arthur-Legend-of-the-Sword#tab=summary,175000000,39175066,139630336,15371270,PG-13,Adventure,3702,126,2017,22.385752,79.78876343
140,6/12/2013,47 Ronin,/movie/47-Ronin#tab=summary,175000000,38362475,151716815,9910310,PG-13,Action,2690,127,2013,21.92141429,86.69532286
141,10/3/2022,Turning Red,/movie/Turning-Red-(2022)#tab=summary,175000000,0,10965045,NA,PG,Adventure,NA,100,2022,0,6.26574
142,20/5/2022,Top Gun: Maverick,/movie/Top-Gun-Maverick-(2020)#tab=summary,170000000,715270567,1478823595,126707459,PG-13,Action,4751,131,2022,420.7473924,869.8962324
143,6/6/2018,Jurassic World: Fallen Kingdom,/movie/Jurassic-World-Fallen-Kingdom-(2018)#tab=summary,170000000,417719760,1308334005,148024610,PG-13,Action,4485,128,2018,245.7175059,769.6082382
144,31/7/2014,Guardians of the Galaxy,/movie/Guardians-of-the-Galaxy#tab=summary,170000000,333714112,770882395,94320883,PG-13,Action,4088,121,2014,196.3024188,453.4602324
145,7/5/2010,Iron Man 2,/movie/Iron-Man-2#tab=summary,170000000,312433331,621156389,128122480,PG-13,Action,4390,125,2010,183.7843124,365.3861112
146,28/3/2014,Captain America: The Winter Soldier,/movie/Captain-America-The-Winter-Soldier#tab=summary,170000000,259746958,714401889,95023721,PG-13,Action,3938,135,2014,152.7923282,420.2364053
147,9/7/2014,Dawn of the Planet of the Apes,/movie/Dawn-of-the-Planet-of-the-Apes#tab=summary,170000000,208545589,710644566,72611427,PG-13,Adventure,3969,130,2014,122.6738759,418.0262153
148,10/11/2004,The Polar Express,/movie/Polar-Express-The#tab=summary,170000000,188578855,312719437,23325035,G,Adventure,3650,92,2004,110.9287382,183.95261
149,30/5/2012,Snow White and the Huntsman,/movie/Snow-White-and-the-Huntsman#tab=summary,170000000,155136755,401021746,56217700,PG-13,Adventure,3777,127,2012,91.25691471,235.8951447
150,1/7/2003,Terminator 3: Rise of the Machines,/movie/Terminator-3-Rise-of-the-Machines#tab=summary,170000000,150358296,433058296,44041440,R,Action,3504,109,2003,88.44605647,254.7401741
